Pytanie;Odpowiedź;Rozdział
"Który wynik testu diagnostycznego u pacjentów z ostrym zapaleniem opon mózgowo rdzeniowych jest szybki i najbardziej przydatny de róznicowania etiologii bakteryjnej i wirusowej?
A. Stężenie glukozy i rodzaj pleocytozy (limfocyty lub leukocyty wielojądrzaste) w PMR
B. Stężenie białka w płynie mózgowo-rdzeniowym i ciśnienie otwarcia płynu PMR
C. Wyniki posiewu płynu mózgowo-rdzeniowego na obecność bakterii i wirusów
D. Tomografia komputerowa mozgu wskazująca na wysokie ciśnienia
E. + d
F. 84 Różnego stopnia i rodzaje trudności z identyfikacją bodźców wzrokowych
G. o pierwotnym oraz wybiórczym charakterze, mimo normalnych (luh nieznacznie zakłóconych ) parametrów fizjologicznych percepej (braku zaburzeń wzroku) to:
H. agnozja
I. aleksja
J. afazja
K. amnezja
L. agrafia
M. SORu został przyjęty 60-letni mężczyzna znaleziony przez rodzinę leżący w domu na podłodze. Ostatni raz widziany w zdrowiu 3 godziny wcześniej.
N. W wywiadzie obciążony nadciśnieniem tętniczym, migotaniem przedsionków, cukrzycą i nikotynizmem. W badaniu neurologicznym przytomny, bez kontaktu słownego, ze zwrotem galek ocznych w lewą stronę, afazją czuciowo-ruchową i niedowładem prawych kończyn. W wykonanym pilnie badaniu TK głowy uwidoczniono uogólnione zaniki korowo-podkorowe, poza tym żadnych innych zmian patologicznych. W takim przypadku najbardziej prawdopodobnym rozpoznaniem z poniższych jest:
O. Udar niedokrwienny mózgu
P. Udar krwotoczny mózgu
Q. Guz mózgu
R. Porażenie Todd'a
S. Podłoże czynnościowe (symulacja objawów)
T. Które stwierdzenie dotyczące zespołu pomijania JEST BLĘDNE:
U. Manifestuje się nieświadomym ignorowaniem strony ciała i/lub przestrzeni otaczającej pacjenta, kontralateralnej w stosunku do miejsca uszkodzenia
V. Chory nie reaguje na bodźce czuciowe, słuchowe mimo braku ubytków w rodzaju niedowidzenia, niedoczulicy czy niedosłuchu
W. Chory nie reaguje na bodźce ruchowe po lewej stronie ciala mimo braku ubytków w rodzaju niedowidzenia, niedoczulicy czy niedosłuchu
X. W większości przypadków dotyczy uszkodzenia prawej półkuli mózgu
Y. Pacjenci postrzegają informacje ze strony pomijane, ale nie są w pełni świadomi tego faktu
Z. W przypadku świeżego rozpoznania udaru niedokrwiennego mózgu, przy braku przeciwwskazań, po potwierdzeniu zamknięcia pnia jednej z dużych tętnic
[. mörgowych, rozważać będziemy:
\. leczenie neurochirurgiczne
]. antybiotykoterapię
^. dożylne leczenie trombolityczne
_. trombektomię mechaniczną
`. + d
a. Które z poniższych objawów najczęściej sugeruje udar w zakresie tętnicy
b. środkowej mózgu (MCA)?
c. Ataksja kończyn dolnych
d. Niedowład połowiczy twarzy i kończyn po stronie przeciwnej
e. Diplopia i oczopląs
f. Zaburzenia połykania i chrypka
g. Niedowidzenie połowicze jednoimienne
h. Typowym objawem udaru w zakresie tętnicy tylnej mózgu (PCA) jest:
i. Afazja ruchowa
j. Hemianopsja jednoimienna
k. Apraksja kończyn
l. Zespół opuszkowy
m. Ataksja tułowia
n. Najczęstszą przyczyną krwotoku podpajęczynówkowego jest:
o. Pęknięcie tętniaka workowatego
p. Malformacja tętniczo-żylna
q. Uraz głowy
r. Nadciśnienie tętnicze przewlekłe
s. Zaburzenia krzepnięcia
t. Do strukturalnych przyczyn napadów padaczkowych NIE NALEŻY:
u. wada rozwojowa mózgu
v. mutacja genetyczna
w. udar
x. guz
y. zmiana pourazowa
z. Która z etiologii padaczki jest najczęściej stwierdzana u osób w wieku podeszłym?
{. genetyczna
|. poinfekcyjna
}. strukturalna
~. immunologiczna
. metaboliczna
. Które z poniższych stwierdzeń prawidłowo definiuje pojęcie otępienia?
. jest to krötkotrwale zaburzenie świadomości i uwagi, wynikające z zaburzen metabolicznych
. jest to zespół zaburzeń funkcji poznawczych, prowadzących do pogorszenia funkcjonowania społecznego i zawodowego, mający charakter przewlekły i zwykle postępujący
. jest to każdy spadek wyników w przesiewowych testach neuropsychologicznych poniżej normy dla wieku
. jest to pierwotne zaburzenie ruchowe, w którym objawy poznaweze pojawiają się jedynie wtórnie
. pojęcie otępienia opisuje wyłącznie chorobę Alzheimera
. Do chorób i zespołów otępiennych o podłożu pierwotnie neurozwyrodnieniowym NIE NALEŻY:
. choroba Alzheimera
. otępienie czołowo-skroniowe
. otępienie z ciałami Lewy'ego
. wodogłowie normotensyjne
. otępienie w chorobie Parkinsona
. Do objawowych przyczyn otępienia o charakterze nieodwracalnym należy:
. niedobór witaminy B12
. niedoczynność tarczycy
. zmiany naczyniopochodne OUN
. zaburzenia depresyjne
. toksyczność leków
. Zaburzeniami wyższych funkcji korowych związanych z uszkodzeniem plata
. ciemieniowego są:
. zaburzenia liczenia i zaburzenia percepcji przestrzennej
. apatia
. zaburzenia percepcji wzrokowej
. zaburzenia pamięci
. rozhamowanie
. Wskaż zdanie NIEPRAWDZIWE dotyczące choroby Alzheimera:
. głównym objawem początkowym są zaburzenia pamięci epizodycznej
. najczęściej zaczyna się po 65. roku życia
. charakterystyczne zmiany neuropatologiczne to odkladanie P-amyloidu i bialka tau
. zaburzenia świadomości są wczesnym i dominującym objawem choroby
. choroba ma charakter postępujący
. Wskaż zdanie NIEPRAWIDŁOWE dotyczące leczenia choroby Alzheimera:
 . donepezil jest stosowany w leczeniu objawowym otępienia o łagodnym umiarkowanym nasileniu
¡. memantyna jest wskazana w otępieniu umiarkowanym do znacznego
¢. leki prokognitywne hamują rozwój choroby i prowadzą do jej całkowitego wyleczenia
£. terapie niefarmakologiczne (np. trening poznawczy) wspierają funkcjonowanie pacjenta
¤. leczenie jest nakierowane na spowolnienie objawów i poprawę jakości życia
¥. Wskaż prawidłową odpowiedź charakteryzującą otępienie z ciałami Lewy'ego:
¦. wczesne zaburzenia pamięci epizodycznej są dominującym objawem od początku choroby
§. fluktuacje funkcji poznawczych z wahaniami uwagi i czujności
¨. brak objawów pozapiramidowych przez cały okres choroby
©. brak omamów wzrokowych
ª. nie występują zaburzenia zachowania w fazie snu REM
«. Uszkodzenie którego szlaku spowoduje przede wszystkim oczopląs i zaburzenia równowagi?
¬. Móżdżkowo-mostowego
­. Przedsionkowo-móżdżkowego
®. Rdzeniowo-móżdżkowego
¯. Mózgowo-móżdżkowego
°. Czołowo-mostowo-móżdżkowego";A. Stężenie glukozy i rodzaj pleocytozy (limfocyty lub leukocyty wielojądrzaste) w PMR (egzamin neurologia 2026 cykl A-2.docx, pyt. 83);Choroby naczyniowe mózgu i rdzenia
"Do SORu został przyjęty 60-letni pacjent, mężczyzna znaleziony przez rodzinę, leżący w domu na podłodze. Ostatni raz widziany w zdrowiu 3 godziny wcześniej. W wywiadzie obciążony nadciśnieniem tętniczym, migotaniem przedsionków, cukrzycą i nikotynizmem. W badaniu neurologicznym przytomny, bez kontaktu słownego, ze zwrotem gałek ocznych w lewą stronę, afazją czuciowo-ruchową i niedowładem prawych kończyn. Przyczyną wyżej wymienionych objawów może być:
A. udar niedokrwienny
B. krwotok śródmózgowy
C. guz mózgu
D. krwiak przymózgowy
E. hipoglikemia
F. ropień mózgu
G. porażenie Todde’a
H. 1,2
I. 1,2,3
J. 1,2,4
K. 1,2,3,4,5,6
L. Wszystkie";L. Wszystkie (egzamin neurologia II 2026 cykl A-3.docx, pyt. 2);Choroby naczyniowe mózgu i rdzenia
"Autosomalnie dominująca artropatia z zawałami podkorowymi i leukoarajozą) jest związany z mutacją genu (CADASIL)
A. APP
B. NOTCH3
C. PSEN1
D. HTT
E. CHMP2B";B. NOTCH3 (egzamin neurologia II 2026 cykl A-3.docx, pyt. 9);Choroby naczyniowe mózgu i rdzenia
"Udar lakunarny powstaje najczęściej na tle:
A. pęknięcia blaszki miażdżycowej w tętnicy szyjnej wewnętrznej
B. zatoru pochodzenia sercowego
C. lipohialinozyny drobnych naczyń głębokich
D. skurczu naczyniowego po krwotoku podpajęczynówkowym
E. zakrzepicy zatok żylnych mózgu";C. lipohialinozyny drobnych naczyń głębokich (egzamin neurologia II 2026 cykl A-3.docx, pyt. 16);Choroby naczyniowe mózgu i rdzenia
"U pacjenta z udarem niedokrwiennym i migotaniem przedsionków leczenie przeciwkrzepliwe (NOAC lub warfaryna) należy rozpocząć:
A. natychmiast po rozpoznaniu udaru
B. po 1-2 dniach niezależnie od jego rozległości
C. po 3-14 dniach w zależności od rozmiaru udaru
D. dopiero po 3 miesiącach
E. nigdy, ze względu na ryzyko krwawienia śródczaszkowego";C. po 3-14 dniach w zależności od rozmiaru udaru (egzamin neurologia II 2026 cykl A-3.docx, pyt. 18);Choroby naczyniowe mózgu i rdzenia
"Który z poniższych czynników jest bezwzględnym przeciwwskazaniem do … dożylnej alteplazą (rt-PA)?
A. czas od wystąpienia objawów >4 godzin
B. cukrzyca z wcześniejszym udarem
C. wiek powyżej 80 lat
D. nadciśnienie tętnicze 180/100 mmHg
E. poziom płytek krwi 90 000/ul";E. poziom płytek krwi 90 000/ul (egzamin neurologia II 2026 cykl A-3.docx, pyt. 19);Choroby naczyniowe mózgu i rdzenia
"Najważniejszym celem postępowania w ostrej fazie krwotoku śródmózgowego jest:
A. szybkie zwiększenie ciśnienia tętniczego
B. obniżenie ciśnienia tętniczego w bezpiecznym zakresie
C. podanie dużych dawek GKS
D. profilaktyczne podanie leku trombolitycznego
E. wczesne włączenie heparyny";B. obniżenie ciśnienia tętniczego w bezpiecznym zakresie (egzamin neurologia II 2026 cykl A-3.docx, pyt. 28);Choroby naczyniowe mózgu i rdzenia
"Co jest typowym obrazem MRI we wczesnej fazie udaru niedokrwiennego?
A. hiperintensywność w T1
B. hiperintensywność w DWI z obniżeniem w ADC
C. hipointensywność w DWI z podwyższeniem w ADC
D. brak zmian przez pierwsze 6 godzin
E. wzmocnienie po podaniu kontrastu";B. hiperintensywność w DWI z obniżeniem w ADC (egzamin neurologia II 2026 cykl A-3.docx, pyt. 29);Choroby naczyniowe mózgu i rdzenia
"Który lek stosuje się w leczeniu ostrej fazy udaru niedokrwiennego w celu degradacji skrzepliny:
A. klopidogrel
B. tenekteplaza
C. heparyna drobnocząsteczkowa
D. acenokumarol
E. kwas acetylosalicylowy";B. tenekteplaza (egzamin neurologia II 2026 cykl A-3.docx, pyt. 30);Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: ten punkt?;"TIA: przemijający epizod ogniskowych objawów niedokrwiennych bez trwałego zawału; traktuj jako alarm udarowy, nie jako 'łagodny incydent'.";Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Udar niedokrwienny?;"Udar niedokrwienny: nagły niedowład, zaburzenia mowy, czucia, widzenia, równowagi; diagnostycznie najpierw obrazowanie, żeby wykluczyć krwotok.";Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Mechanizmy?;Mechanizmy: miażdżyca dużych tętnic, zator sercowopochodny, choroba małych naczyń, rozwarstwienie, koagulopatie i rzadsze zapalenia/naczyniopatie.;Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Profilaktyka wtórna?;Profilaktyka wtórna: leczenie przyczyny, kontrola RR, lipidów, cukrzycy, rzucenie palenia, leki przeciwpłytkowe lub przeciwkrzepliwe zależnie od mechanizmu.;Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Krwotok śródmózgowy?;"Krwotok śródmózgowy: częściej ból głowy, wymioty, zaburzenia świadomości i gwałtowne narastanie objawów; typowe tło to nadciśnienie lub angiopatia amyloidowa.";Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Udar tętnicy środkowej mózgu?;Udar tętnicy środkowej mózgu: twarz i kończyna górna, afazja w dominującej półkuli lub zaniedbywanie w niedominującej.;Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Udar tętnicy przedniej?;Udar tętnicy przedniej: kończyna dolna, abulia, zaburzenia zachowania i nietrzymanie moczu.;Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: co trzeba pamiętać o: Udar tylnego krążenia?;Udar tylnego krążenia: zawroty, ataksja, dyzartria, diplopia, dysfagia, objawy pniowe i zaburzenia świadomości.;Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: odtwórz fakt ze skryptu zaczynający się od: a. udar niedokrwienny (85-90%) i. zakrzepowo-zatorowy iii....;a. udar niedokrwienny (85-90%) i. zakrzepowo-zatorowy iii. hemodynamiczny - ↓ RR i krytyczny spadek regionalnego przepływu mózgowego b. krwotok śródmózgowy (10%);Choroby naczyniowe mózgu i rdzenia
Choroby naczyniowe mózgu i rdzenia: odtwórz fakt ze skryptu zaczynający się od: II. Podział wg klasyfikacji TOAST - tło udaru a. choroby dużych naczyń...;II. Podział wg klasyfikacji TOAST - tło udaru a. choroby dużych naczyń (miażdżycowe) b. choroby małych naczyń (udary zatokowe) c. sercowo-zatorowe d. inne (rzadkie) przyczyny e. nieustalone (zwykle mieszane);Choroby naczyniowe mózgu i rdzenia
"Które parametry w badaniu płynu mózgowo-rdzeniowego sugerują wirusowe zapalenie opon mózgowo-rdzeniowych:
A. glukoza <40 mg/dl, białko >200 mg/dl, neutrofilia
B. glukoza prawidłowa, następstwo lekkiego uszkodzenia, limfocytoza
C. glukoza niska, białko prawidłowe, limfocytoza
D. glukoza podwyższona, białko niskie, neutrofilia
E. glukoza i białko prawidłowe, brak pleocytozy";B. glukoza prawidłowa, następstwo lekkiego uszkodzenia, limfocytoza (egzamin neurologia 2026 cykl A-2.docx, pyt. 6);Infekcje OUN
"Które stwierdzenie dotyczące empirycznego leczenia bakteryjnego ZOMR u dorosłych jest prawidłowe: oo
A. Ceftriakson + wankomycyna acyklowir
B. Ceftriakson + wankomycyna +/- ampicylina
C. Ceftriakson monoterapia
D. Ciprofloksacyna + wankomycyna
E. Cefazolina + acyklowir";B. Ceftriakson + wankomycyna +/- ampicylina (egzamin neurologia 2026 cykl A-2.docx, pyt. 7);Infekcje OUN
"Który z poniższych objawów jest najbardziej typowy dla zapalenia opon mózgowo-rdzeniowych?
A. Drżenie spoczynkowe
B. Sztywność karku
C. Ataksja tułowia
D. Zaburzenia pamięci krótkotrwałej
E. Oczopląs poziomy";B. Sztywność karku (egzamin neurologia 2026 cykl A-2.docx, pyt. 18);Infekcje OUN
"Które drobnoustroje są najczęstszą przyczyną wirusowego zapalenia opon mózgowo-rdzeniowych?
A. Wirusy opryszczki (HSV-1, HSV-2)
B. Enterowirusy (echowirusy, Coxsackie)
C. Wirus Epsteina-Barr
D. Cytomegalowirus
E. HIV";B. Enterowirusy (echowirusy, Coxsackie) (egzamin neurologia 2026 cykl A-2.docx, pyt. 20);Infekcje OUN
"Zmiany w placie skroniowym w MRI, drgawki i zaburzenia Świadomości są najbardziej charakterystyczne dla:
A. Wirusowego zapalenia opon wywołanego przez enterowirusy
B. Opryszczkowego zapalenia mózgu (HSV-I)
C. Neuroboreliozy
D. Zapalenia mózgu w przebiegu HIV
E. Zapalenia opon gruźliczego";B. Opryszczkowego zapalenia mózgu (HSV-I) (egzamin neurologia 2026 cykl A-2.docx, pyt. 71);Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Ostre bakteryjne ZOMR?;"Ostre bakteryjne ZOMR: gorączka, ból głowy, sztywność karku, zaburzenia świadomości; PMR zwykle neutrofilowy, białko wysokie, glukoza niska.";Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Wirusowe ZOMR?;Wirusowe ZOMR: łagodniejsze, PMR limfocytarny, glukoza zwykle prawidłowa, białko umiarkowanie podwyższone.;Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Gruźlicze i grzybicze ZOMR?;Gruźlicze i grzybicze ZOMR: przebieg podostry/przewlekły, limfocyty, wysokie białko i często obniżona glukoza.;Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Zapalenie mózgu?;"Zapalenie mózgu: oprócz objawów oponowych pojawia się zaburzenie świadomości, osobowości, napady, objawy ogniskowe; HSV kojarz z płatem skroniowym.";Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Ropień mózgu?;"Ropień mózgu: triada bywa niepełna - ból głowy, gorączka, deficyt ogniskowy; w obrazie efekt masy i wzmacniająca się torebka.";Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Meningitis = opony?;Meningitis = opony: ból głowy, gorączka, sztywność karku. Encephalitis = mózg: świadomość, napady, osobowość, ognisko.;Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: ten punkt?;Niska glukoza w PMR najbardziej pcha w stronę bakteryjnego, gruźliczego, grzybiczego lub nowotworowego procesu.;Infekcje OUN
Infekcje OUN: co trzeba pamiętać o: Nie czekaj z myśleniem o HSV przy zapaleniu mózgu z objawami skroniowymi.?;Nie czekaj z myśleniem o HSV przy zapaleniu mózgu z objawami skroniowymi.;Infekcje OUN
Infekcje OUN: odtwórz fakt ze skryptu zaczynający się od: Choroby infekcyjne mózgu, opon mózgowo-rdzeniowych i rdzenia...;Choroby infekcyjne mózgu, opon mózgowo-rdzeniowych i rdzenia kręgowego;Infekcje OUN
Infekcje OUN: odtwórz fakt ze skryptu zaczynający się od: Zapalenie opon mózgowo-rdzeniowych, mózgu i...;Zapalenie opon mózgowo-rdzeniowych, mózgu i rdzenia;Infekcje OUN
Infekcje OUN: odtwórz fakt ze skryptu zaczynający się od: Procesy zapalne rozwijające się podtwardówkowo i obejmujące głównie...;Procesy zapalne rozwijające się podtwardówkowo i obejmujące głównie tkanki opony pajęczej i naczyniowej. W każdym przypadku, w mniejszym lub większym stopniu, zajęte są tkanki mózgowia i/lub RK.;Infekcje OUN
Infekcje OUN: odtwórz fakt ze skryptu zaczynający się od: zaburzenia świadomości objawy oponowe (+) - początkowo Brudziński,...;zaburzenia świadomości objawy oponowe (+) - początkowo Brudziński, potem bolesność gałek ocznych i Kernig objawy uszkodzenia NC (gdy opony podstawy mózgu) - zaburzenia okoruchowe, źrenicze, NC VII;Infekcje OUN
"Wybierz zdanie, które NIEPRAWIDŁOWO charakteryzuje ostre rozsiane zapalenie mózgu i rdzenia (ADEM):
A. monofazowe, zapalno-demielinizacyjne schorzenie OUN o podłożu autoimmunologicznym,
B. patogenezy zmian upatruje się w zjawisku molekularnej mimikry.
C. choroba występuje znacznie częściej u dzieci niż u dorosłych,
D. w badaniu MR obserwuje się symetryczne lub asymetryczne rozsiane zmiany demielinizacyjne w istocie białej półkul, ale nie w miejscach typowych dla SM,
E. częsty jest przebieg rzutowy";E. częsty jest przebieg rzutowy (egzamin neurologia 2026 cykl A-2.docx, pyt. 19);Choroby demielinizacyjne
"U chorego z afazją Broki, niedowładem połowiczym twarzy i kończyn po stronie prawej oraz odchyleniem głowy w lewo uszkodzona jest najprawdopodobniej:
A. Lewa tętnica środkowa mózgu
B. Prawa tętnica środkowa mózgu
C. Lewa tętnica tylna mózgu
D. Lewa tętnica przednia mózgu
E. Prawa tętnica podstawna";A. Lewa tętnica środkowa mózgu (egzamin neurologia 2026 cykl A-2.docx, pyt. 22);Choroby demielinizacyjne
"Stwardnienie rozsiane (SM) to:
A. pierwotne zapalno-demielinizacyjne, przewlekłe schorzenie OUN o podłożu autoimmunologicznym
B. choroba nerwów obwodowych z dominującą neuropatią aksonalną bez procesu zapalnego
C. wyłącznie choroba neurodegeneracyjna bez cech zapalenia ani demielinizacji
D. uogólniona miopatia mitochondrialna
E. idiopatyczna choroba jednoogniskowa istoty szarej mózgu";A. pierwotne zapalno-demielinizacyjne, przewlekłe schorzenie OUN o podłożu autoimmunologicznym (egzamin neurologia 2026 cykl A-2.docx, pyt. 23);Choroby demielinizacyjne
"Najwcześniej wykazany związek genetyczny SM dotyczyl regionu chromosomu:
A. 7q31
B. 19q13 (APOE)
C. 1p36
D. 17q21
E. бp21 (geny HLA)";E. бp21 (geny HLA) (egzamin neurologia 2026 cykl A-2.docx, pyt. 24);Choroby demielinizacyjne
"Prążki oligoklonalne w płynie mózgowo-rdzeniowym w stwardnieniu rozsianym:
A. są obecne u >90% chorych, odzwierciedlają wewnątrzmózgowa syntezę immunoglobulin, ale nie są swoiste dla SM
B. występują wyłącznie w SM i znikają po leczeniu immunomodulacyjnym
C. ich brak wyklucza rozpoznanie SM
D. obecne są tylko w czasie rzutu i ściśle korelują z nasileniem objawów
E. powstają wyłącznie przeciw wirusom odry i różyczki";A. są obecne u >90% chorych, odzwierciedlają wewnątrzmózgowa syntezę immunoglobulin, ale nie są swoiste dla SM (egzamin neurologia 2026 cykl A-2.docx, pyt. 25);Choroby demielinizacyjne
"Standardowe leczenie ostrego rzutu SM obejmuje:
A. doustny prednizon 5 mg/d przez 14 dni jako jedyne leczenie
B. dożylne podanie metylprednizolonu 0,5-1 g/d przez 3-5 dni
C. pulsacyjną cyklofosfamidoterapię jako leczenie pierwszego wyboru
D. dorażne podwojenie dawki interferonu ß
E. wyłącznie plazmaferezę w pierwszej kolejności";B. dożylne podanie metylprednizolonu 0,5-1 g/d przez 3-5 dni (egzamin neurologia 2026 cykl A-2.docx, pyt. 26);Choroby demielinizacyjne
"Do kryteriów „rozsiania w czasie"" wg kryteriów diagnostycznych stwardnienia rozsianego (McDonalda z 2017 r.) należą:
A. wystąpienie kolejnego rzutu choroby
B. obecność oligoklonalnych prążków Ig w płynie mózgowo-rdzeniowym
C. obecność nowej zmiany demielinizacyjnej w badaniu rezonansowym
D. obecnośé zarówno zmian nieaktywnych oraz aktywnych (wzmacniających się po podaniu kontrastu) w badaniu rezonansowym
E. wszystkie powyższe";E. wszystkie powyższe (egzamin neurologia 2026 cykl A-2.docx, pyt. 27);Choroby demielinizacyjne
"Połącz jednostkę chorobową z typową cechą. Która z poniższych kombinacji jest prawidlowa?
A. NMO - przeciwciała anty-AQP4; ADEM - jednoczasowe ogniska Gd(+) o monofazowym przebiegu; PML - reaktywacja wirusa JC i ogniska T2/FLAIR często bez wzmocnienia
B. NMO - przeciwciała anty-MOG; ADEM - przewlekle postępujący przebieg: PML - częste uszkodzenie nerwów wzrokowych
C. NMO - zajęcie głównie kory mózgu; ADEM - brak związku z infekcjami/szczepieniami; PML - etiologia EBV
D. NMO - zawsze pełny powrót do stanu wyjściowego po rzucie; ADEM - dominują neuralgie trójdzielne; PML - zwykle silne wzmocnienie kontrastowe
E. NMO - ścisły związek z HLA-B27; ADEM - stała obecność OCB; PML-skutecznie leczona cytarabiną";"A. NMO - przeciwciała anty-AQP4; ADEM - jednoczasowe ogniska Gd(+) o monofazowym przebiegu; PML - reaktywacja wirusa JC i ogniska T2/FLAIR często bez wzmocnienia (egzamin neurologia 2026 cykl A-2.docx, pyt. 28)";Choroby demielinizacyjne
"Zespöl Millarda-Gublera objawia się jako:
A. porażenie okruchowe po stronie uszkodzenia z towarzyszącym niedowładem połowiczym po stronie przeciwnej
B. porażenie mięśni języka po stronie przeciwnej do uszkodzenia z towarzyszącym niedowładem połowiczym po stronie uszkodzenia
C. porażenie okoruchowe po stronie przeciwnej do uszkodzenia z towarzyszącym niedowładem połowiczym po stronie przeciwnej
D. obwodowy niedowład mięśni twarzy po stronie uszkodzenia z towarzyszącym niedowładem połowiczym po stronie przeciwnej
E. porażenie skojarzonego spozierania ku górze i dołu z towarzyszącym brakiem reakcji źrenic na światło i zachowaną reakcją źrenic na światło";D. obwodowy niedowład mięśni twarzy po stronie uszkodzenia z towarzyszącym niedowładem połowiczym po stronie przeciwnej (egzamin neurologia 2026 cykl A-2.docx, pyt. 63);Choroby demielinizacyjne
"Wybierz zdanie, które NIEPRAWIDŁOWO charakteryzuje chorobę neuromyelitis optica (NMOSD):
A. jest autoimmunologiczne, demielinizacyjno-nekrotycznym schorzenie uszkadzające nerwy wzrokowe i rdzen kręgowy,
B. po przebytym rzucie choroby pozostaje zwykle znacznego stopnia deficyt neurologiczny, a w postaci nawrotowej narastanie niesprawności jest większe nıż. po rzutach stwardnienia rozsianego,
C. w obrazie neuropatologicznym w obszarach destrukcji widoczne są: intensywna demielinizacja, cechy ostrego uszkodzenia aksonów (obecnosć tzw. sferoidów), nekroza z obecnością jam,
D. zapalenie nerwów wzrokowych i rdzenia kręgowego określa się mianem akwaporynopatii, co wiąże się z obecnością przeciwciał przeciw akwaporynie 4 (AQP4) we krwi i w CSF u około 70% chorych
E. rozpoznanie to wspiera wykrycie obecności prążków oligkolonalnych w płynie mózgowo-rdzeniowym.";E. rozpoznanie to wspiera wykrycie obecności prążków oligkolonalnych w płynie mózgowo-rdzeniowym. (egzamin neurologia 2026 cykl A-2.docx, pyt. 81);Choroby demielinizacyjne
"Które stwierdzenie epidemiologiczne dotyczące SM jest prawdziwe:
A. Częstość SM rośnie im bliżej równika
B. Młodzi imigranci (przed 15 r.ż.) nabywają ryzyko SM charakterystyczne dla obszaru docelowego
C. W obszarze niskiego ryzyka chorobotwórczość przekracza 30/100 000
D. SM najczęściej dotyczy rasy czarnej i azjatyckiej
E. Nie ma różnic płciowych w zapadalności na SM";B. Młodzi imigranci (przed 15 r.ż.) nabywają ryzyko SM charakterystyczne dla obszaru docelowego (egzamin neurologia II 2026 cykl A-3.docx, pyt. 3);Choroby demielinizacyjne
"Wybierz zdanie, które nieprawidłowo charakteryzuje ADEM- ostre rozsiane zapalenie mózgu i rdzenia (ADEM):
A. monofazowym, zapalno-demielinizacyjnym schorzeniem OUN o podłożu autoimmunologicznym
B. patogenezy zmian upatruje się w zjawisku molekularnej mimikry
C. choroba występuje znacznie częściej u dzieci niż u dorosłych
D. w badaniu MR obserwuje się symetryczne lub asymetryczne rozsiane zmiany demielinizacyjne w istocie białej półkul, ale nie w miejscach typowych dla SM
E. częsty jest przebieg rzutowy";E. częsty jest przebieg rzutowy (egzamin neurologia II 2026 cykl A-3.docx, pyt. 4);Choroby demielinizacyjne
"Co oznacza obraz “palców Dawsona” w badaniu MR w stwardnieniu rozsianym?
A. owalne ogniska widoczne w sekwencji T1 z intensywnym pierścieniowatym wzmocnieniem w płatach skroniowych
B. hiperintensywne ogniska widoczne w sekwencji T2 ułożone prostopadle do komór bocznych, często w obrębie ciała modzelowatego
C. symetryczne zmiany w jądrach podstawy, typowe dla ADEM
D. hipointensywne “czarne dziury” w sekwencji T1 świadczące o odwracalnym obrzęku
E. ogniska wyłącznie w rdzeniu kręgowym na poziomie C-Th";B. hiperintensywne ogniska widoczne w sekwencji T2 ułożone prostopadle do komór bocznych, często w obrębie ciała modzelowatego (egzamin neurologia II 2026 cykl A-3.docx, pyt. 6);Choroby demielinizacyjne
"Wybierz zdanie, które nieprawidłowo charakteryzuje chorobę ze spektrum NMOSD - neuromyelitis optica:
A. jest to autoimmunologiczne, demielinizacyjno-nekrotycznym schorzeniem uszkadzające nerwy wzrokowe i rdzeń kręgowy
B. po przebytym rzucie choroby pozostaje zwykle znacznego stopnia deficyt neurologiczny, a w postaci nawrotowej narastanie niesprawności jest większe niż po rzutach SM
C. w obrazie neuropatologicznym w obszarachdestrukcji widoczne są: intensywna demielinizacja, cechy ostrego uszkodzenia aksonów (obecność tzw. sferoidów), nekroza z obecnością jam
D. zapalenie nerwów wzrokowych i rdzenia kręgowego określa się mianem akwaporynopatii, co wiąże się z obecnością przeciwciał przeciw akwaporynie 4 (AQP4) we krwi i w CSF u około 70% chorych
E. rozpoznanie to wspiera wykrycie obecności prążków oligoklonalnych w płynie mózgowo-rdzeniowym";E. rozpoznanie to wspiera wykrycie obecności prążków oligoklonalnych w płynie mózgowo-rdzeniowym (egzamin neurologia II 2026 cykl A-3.docx, pyt. 40);Choroby demielinizacyjne
